NCBI Accession,Genome Name
NC_088575.1,"Emmelichthys karnellai voucher KAUM-I. 146310 mitochondrion, complete genome"
NC_088570.1,"Protocobitis typhlops mitochondrion, complete genome"
NC_088569.1,"Mergus octosetaceus voucher AMNH 748583 mitochondrion, complete genome"
NC_088568.1,"Mergus australis voucher Av1583 mitochondrion, complete genome"
NC_088563.1,"Crocidura anhuiensis mitochondrion, complete genome"
NC_088557.1,"Argulus japonicus isolate Ajsc mitochondrion, complete genome"
NC_088556.1,"Pygathrix cinerea mitochondrion, complete genome"
NC_088554.1,"Synanthedon bicingulata voucher SC(II)-0426 mitochondrion, complete genome"
NC_088552.1,"Macromia hamata mitochondrion, complete genome"
NC_088551.1,"Allonothrus sinicus mitochondrion, complete genome"
NC_088550.1,"Millerichthys robustus mitochondrion, complete genome"
NC_088549.1,"Paraclius curvispinus mitochondrion, complete genome"
NC_088546.1,"Proedromys bedfordi mitochondrion, complete genome"
NC_088544.1,"Lepus mandshuricus mitochondrion, complete genome"
NC_088543.1,"Pipistrellus pipistrellus mitochondrion, complete genome"
NC_088542.1,"Jasus edwardsii mitochondrion, complete genome"
NC_088535.1,"Hipposideros caffer mitochondrion, complete genome"
NC_088532.1,"Libellula melli mitochondrion, complete genome"
NC_088529.1,"Sphingonotus turcmenus mitochondrion, complete genome"
NC_088528.1,"Phlaeoba angustidorsis mitochondrion, complete genome"
NC_088527.1,"Acrida oxycephala mitochondrion, complete genome"
NC_088525.1,"Corynorhinus mexicanus voucher ENCB_Chis-Ves_0041 haplogroup TMVB mitochondrion, complete genome"
NC_088522.1,"Cichlidogyrus halli mitochondrion, complete genome"
NC_088521.1,"Ferrissia fragilis voucher Fe2-e41d4p2 mitochondrion, complete genome"
NC_088519.1,"Triplophysa erythraea mitochondrion, complete genome"
NC_088518.1,"Vanessula milca isolate Vanmi2021 mitochondrion, complete genome"
NC_088517.1,"Maniola hyperantus mitochondrion, complete genome"
NC_088516.1,"Sancassania mycophaga mitochondrion, complete genome"
NC_088515.1,"Parasipyloidea carinata isolate HZ1153 mitochondrion, complete genome"
NC_088508.1,"Ceratozetella imperatoria mitochondrion, complete genome"
NC_088507.1,"Tuerkayana celeste mitochondrion, complete genome"
NC_088506.1,"Tuerkayana hirtipes mitochondrion, complete genome"
NC_088505.1,"Tuerkayana rotundum mitochondrion, complete genome"
NC_088504.1,"Tuerkayana magnum mitochondrion, complete genome"
NC_088503.1,"Glyptothorax quadriocellatus mitochondrion, complete genome"
NC_088502.1,"Amblyomma triste voucher SA09 mitochondrion, complete genome"
NC_088500.1,"Macrhybopsis marconis isolate SAR mitochondrion, complete genome"
NC_088499.1,"Macrhybopsis aestivalis isolate PR mitochondrion, complete genome"
NC_088495.1,"Porphyrio mantelli voucher CM_AV30291 mitochondrion, complete genome"
NC_088494.1,"Sinobirma bouyeri mitochondrion, complete genome"
NC_088493.1,"Nephelomys childi voucher JFD1634 mitochondrion, complete genome"
NC_088492.1,"Akodon affinis voucher JFD1646 mitochondrion, complete genome"
NC_088491.1,"Parechinus angulosus mitochondrion, complete genome"
NC_088490.1,"Zoarces viviparus mitochondrion, complete genome"
NC_088488.1,"Haliotis fulgens mitochondrion, complete genome"
NC_088482.1,"Anopheles gibbinsi isolate AGB1 mitochondrion, complete genome"
NC_088460.1,"Glauconome virens haplotype female mitochondrion, complete genome"
NC_088456.1,"Tringa melanoleuca voucher JJW1663 mitochondrion, complete genome"
NC_088455.1,"Tringa incana voucher DAR228 mitochondrion, complete genome"
NC_088454.1,"Tringa brevipes voucher DDG1736 mitochondrion, complete genome"
NC_088453.1,"Somateria spectabilis voucher ABJ107 mitochondrion, complete genome"
NC_088452.1,"Picoides tridactylus voucher SAR6046 mitochondrion, complete genome"
NC_088451.1,"Numenius hudsonicus voucher KGM036 mitochondrion, complete genome"
NC_088450.1,"Melanitta americana voucher CSW4486 mitochondrion, complete genome"
NC_088449.1,"Mareca americana voucher UAMX1468 mitochondrion, complete genome"
NC_088448.1,"Histrionicus histrionicus voucher DDG1753 mitochondrion, complete genome"
NC_088447.1,"Gallinago delicata voucher DDG1945 mitochondrion, complete genome"
NC_088446.1,"Clangula hyemalis voucher REW532 mitochondrion, complete genome"
NC_088445.1,"Arenaria melanocephala voucher JJW1153 mitochondrion, complete genome"
NC_088444.1,"Simulium guiyangense mitochondrion, complete genome"
NC_088440.1,"Voluta musica mitochondrion, complete genome"
NC_088437.1,"Dicyrtomina ornata mitochondrion, complete genome"
NC_088430.1,"Cobitis tetralineata mitochondrion, complete genome"
NC_088429.1,"Choucentrus sinensis mitochondrion, complete genome"
NC_088428.1,"Centrotypus assamensis mitochondrion, complete genome"
NC_088427.1,"Pagrus auratus mitochondrion, complete genome"
NC_088426.1,"Pelodiscus maackii voucher TOR34 mitochondrion, complete genome"
NC_088425.1,"Leptobrachella alpina mitochondrion, complete genome"
NC_088211.1,"Drosophila montana voucher DMONT20180902 mitochondrion, complete genome"
NC_088096.1,"Citellophilus tesquorum mitochondrion, complete genome"
NC_088095.1,"Austropallene halanychi mitochondrion, complete genome"
NC_088089.1,"Madrepora piresae voucher Moc200 mitochondrion, complete genome"
NC_088077.1,"Synergus nanlingensis mitochondrion, complete genome"
NC_088066.1,"Ixodes trianguliceps isolate SG1441 mitochondrion, complete genome"
NC_088065.1,"Salurnis marginella voucher CNU8352 mitochondrion, complete genome"
NC_088058.1,"Vespula orbata mitochondrion, complete genome"
NC_088057.1,"Amblyomma limbatum voucher B6548 mitochondrion, complete genome"
NC_088056.1,"Amblyomma breviscutatum voucher AU071.B5296 mitochondrion, complete genome"
NC_088052.1,"Antipathes grandis mitochondrion, complete genome"
NC_088051.1,"Thyasira tokunagai mitochondrion, complete genome"
NC_088050.1,"Vanessa tameamea isolate Waianae mitochondrion, complete genome"
NC_088032.1,"Unio sesirmensis isolate CIIMAR_BIV4052 mitochondrion, complete genome"
NC_088031.1,"Urophycis brasiliensis mitochondrion, complete genome"
NC_088030.1,"Umbrina canosai mitochondrion, complete genome"
NC_088029.1,"Thyrsites lepidopodea mitochondrion, complete genome"
NC_088028.1,"Sphyraena guachancho mitochondrion, complete genome"
NC_088027.1,"Selene vomer mitochondrion, complete genome"
NC_088026.1,"Scorpaena brasiliensis mitochondrion, complete genome"
NC_088025.1,"Scomberomorus brasiliensis mitochondrion, complete genome"
NC_088024.1,"Sardinella brasiliensis mitochondrion, complete genome"
NC_088023.1,"Sardinella aurita mitochondrion, complete genome"
NC_088022.1,"Rypticus randalli mitochondrion, complete genome"
NC_088021.1,"Pseudupeneus maculatus mitochondrion, complete genome"
NC_088020.1,"Pseudopercis numida mitochondrion, complete genome"
NC_088019.1,"Prionotus nudigula mitochondrion, complete genome"
NC_088018.1,"Polyprion americanus mitochondrion, complete genome"
NC_088017.1,"Paralonchurus brasiliensis mitochondrion, complete genome"
NC_088016.1,"Orthopristis ruber mitochondrion, complete genome"
NC_088015.1,"Ocyurus chrysurus mitochondrion, complete genome"
NC_088014.1,"Nemadactylus bergi mitochondrion, complete genome"
NC_088013.1,"Mycteroperca acutirostris mitochondrion, complete genome"
NC_088012.1,"Mullus argentinae mitochondrion, complete genome"
NC_088011.1,"Micropogonias furnieri mitochondrion, complete genome"
NC_088010.1,"Merluccius hubbsi mitochondrion, complete genome"
NC_088009.1,"Menticirrhus americanus mitochondrion, complete genome"
NC_088008.1,"Macrodon ancylodon mitochondrion, complete genome"
NC_088007.1,"Lutjanus analis mitochondrion, complete genome"
NC_088006.1,"Lopholatilus villarii mitochondrion, complete genome"
NC_088005.1,"Lophius gastrophysus mitochondrion, complete genome"
NC_088004.1,"Isopisthus parvipinnis mitochondrion, complete genome"
NC_088003.1,"Hyporthodus niveatus mitochondrion, complete genome"
NC_088002.1,"Hemiramphus brasiliensis mitochondrion, complete genome"
NC_088001.1,"Haemulon parra mitochondrion, complete genome"
NC_088000.1,"Genidens barbus mitochondrion, complete genome"
NC_087999.1,"Epinephelus morio mitochondrion, complete genome"
NC_087998.1,"Epinephelus marginatus mitochondrion, complete genome"
NC_087997.1,"Epinephelus adscensionis mitochondrion, complete genome"
NC_087996.1,"Dermatolepis inermis mitochondrion, complete genome"
NC_087995.1,"Cynoscion striatus mitochondrion, complete genome"
NC_087994.1,"Cynoscion leiarchus mitochondrion, complete genome"
NC_087993.1,"Cynoscion jamaicensis mitochondrion, complete genome"
NC_087992.1,"Coryphaena equiselis mitochondrion, complete genome"
NC_087991.1,"Conodon nobilis mitochondrion, complete genome"
NC_087990.1,"Chloroscombrus chrysurus mitochondrion, complete genome"
NC_087989.1,"Chilomycterus spinosus mitochondrion, complete genome"
NC_087988.1,"Chaetodipterus faber mitochondrion, complete genome"
NC_087987.1,"Cephalopholis fulva mitochondrion, complete genome"
NC_087986.1,"Centropomus parallelus mitochondrion, complete genome"
NC_087985.1,"Carangoides bartholomaei mitochondrion, complete genome"
NC_087984.1,"Astroscopus sexspinosus mitochondrion, complete genome"
NC_087983.1,"Anisotremus surinamensis mitochondrion, complete genome"
NC_087982.1,"Anchoa tricolor mitochondrion, complete genome"
NC_087981.1,"Acanthurus bahianus mitochondrion, complete genome"
NC_087908.1,"Pachylophus rufescens mitochondrion, complete genome"
NC_087907.1,"Gobiomorphus australis isolate CES-357 mitochondrion, complete genome"
NC_087906.1,"Gobiomorphus coxii isolate CES-326 mitochondrion, complete genome"
NC_087905.1,"Anguilla australis isolate CES-080 voucher SAMA:F-E194_F10411 mitochondrion, complete genome"
NC_087904.1,"Percalates colonorum isolate CES-097 voucher ANFC:H 4492-01 mitochondrion, complete genome"
NC_087903.1,"Acanthochitona defilippii mitochondrion, complete genome"
NC_087902.1,"Erinaceus concolor isolate EriArt1 mitochondrion, complete genome"
NC_087900.1,"Sapajus nigritus voucher IPB 1138 mitochondrion, complete genome"
NC_087899.1,"Sapajus libidinosus voucher MNLM2322 mitochondrion, complete genome"
NC_087898.1,"Sapajus cay voucher UFRO 000500 mitochondrion, complete genome"
NC_087897.1,"Cebus imitator voucher UCLA:HEDWIG9 mitochondrion, complete genome"
NC_087896.1,"Cebus castaneus voucher MPEG:43764 mitochondrion, complete genome"
NC_087895.1,"Cebus kaapori voucher MPEG:43852 mitochondrion, complete genome"
NC_087894.1,"Ampittia trimacula mitochondrion, complete genome"
NC_087893.1,"Coladenia agnioides mitochondrion, complete genome"
NC_087892.1,"Carterocephalus argyrostigma mitochondrion, complete genome"
NC_087891.1,"Pintara bowringi mitochondrion, complete genome"
NC_087890.1,"Erynnis pelias mitochondrion, complete genome"
NC_087882.1,"Struwela camposi voucher SIO:BIC:A13437 mitochondrion, complete genome"
NC_087881.1,"Phyllodoce medipapillata voucher SIO:BIC:A4340 mitochondrion, complete genome"
NC_087880.1,"Haemaphysalis novaeguineae voucher B5081b mitochondrion, complete genome"
NC_087879.1,"Amblyomma papuanum voucher B5524 mitochondrion, complete genome"
NC_087878.1,"Bothriocroton hydrosauri voucher B6695 mitochondrion, complete genome"
NC_087877.1,"Bothriocroton auruginans voucher B4505 mitochondrion, complete genome"
NC_087876.1,"Amblyomma postoculatum voucher B5475 mitochondrion, complete genome"
NC_087875.1,"Amblyomma nitidum voucher B7194.AN26 mitochondrion, complete genome"
NC_087874.1,"Amblyomma calabyi voucher B7021.P26 mitochondrion, complete genome"
NC_087873.1,"Amblyomma albolimbatum voucher B5607 mitochondrion, complete genome"
NC_087869.1,"Egeirotrioza xingi mitochondrion, complete genome"
NC_087868.1,"Egeirotrioza rufa mitochondrion, complete genome"
NC_087866.1,"Optediceros marginatum mitochondrion, complete genome"
NC_087865.1,"Myiopardalis pardalina mitochondrion, complete genome"
NC_087864.1,"Notropis buccula voucher TCWC:Fish:20310.02 mitochondrion, complete genome"
NC_087863.1,"Notropis oxyrhynchus voucher TCWC:Fish:20350.02 mitochondrion, complete genome"
NC_087859.1,"Nerita undata voucher UMTMoll 3115 mitochondrion, complete genome"
NC_087857.1,"Poecilochirus davydovae mitochondrion, complete genome"
NC_087854.1,"Asymblepharus sikimmensis mitochondrion, complete genome"
NC_087853.1,"Mecidea indica mitochondrion, complete genome"
NC_087852.1,"Megalechis thoracata mitochondrion, complete genome"
NC_087845.1,"Microtus obscurus isolate 19-208_HEAD haplogroup Sino-Russian mitochondrion, complete genome"
NC_087842.1,"Assiminea estuarina mitochondrion, complete genome"
NC_087841.1,"Optediceros breviculum mitochondrion, complete genome"
NC_087838.1,"Chauliops zhengi voucher zheng-YNRL3 mitochondrion, complete genome"
NC_087837.1,"Chauliops quaternaria voucher quat-TG2 mitochondrion, complete genome"
NC_087836.1,"Poecilochirus mrciaki mitochondrion, complete genome"
NC_087824.1,"Haemadipsa hainana mitochondrion, complete genome"
NC_087819.1,"Mazama rufa mitochondrion, complete genome"
NC_087818.1,"Bisbalus citus mitochondrion, complete genome"
NC_087810.1,"Micronephthys minuta voucher SIO:BIC:A15537 mitochondrion, complete genome"
NC_087809.1,"Pilargis wolfi voucher USNM:1499416 mitochondrion, complete genome"
NC_087808.1,"Antonbruunia milenae voucher SIO:BIC:A12279 mitochondrion, complete genome"
NC_087807.1,"Glyphohesione klatti voucher SIO:BIC:A6066 mitochondrion, complete genome"
NC_087806.1,"Synelmis amoureuxi voucher SIO:BIC:A4721 mitochondrion, complete genome"
NC_087805.1,"Pilargis verrucosa voucher SIO:BIC:A13955 mitochondrion, complete genome"
NC_087804.1,"Laudakia tuberculata mitochondrion, complete genome"
NC_087803.1,"Porrocaecum reticulatum mitochondrion, complete genome"
NC_087796.1,"Cosmolaelaps hrdyi mitochondrion, complete genome"
NC_087795.1,"Sorex alpinus mitochondrion, complete genome"
NC_087794.1,"Reithrodontomys fulvescens mitochondrion, complete genome"
NC_087793.1,"Dolycoris penicillatus voucher XJBS mitochondrion, complete genome"
NC_087792.1,"Dolycoris indicus voucher YNLJ mitochondrion, complete genome"
NC_087791.1,"Tubuca alcocki mitochondrion, complete genome"
NC_087790.1,"Ocypode rotundata mitochondrion, complete genome"
NC_087789.1,"Austruca sindensis mitochondrion, complete genome"
NC_087788.1,"Austruca iranica mitochondrion, complete genome"
NC_087787.1,"Austruca annulipes mitochondrion, complete genome"
NC_087785.1,"Henricia sanguinolenta mitochondrion, complete genome"
NC_087784.1,"Henricia reniossa mitochondrion, complete genome"
NC_087783.1,"Euphyes dukesi voucher ED2005.1 mitochondrion, complete genome"
NC_087781.1,"Schizothorax fedtschenkoi mitochondrion, complete genome"
NC_087779.1,"Epuraea terminalis mitochondrion, complete genome"
NC_087778.1,"Pyrausta phoenicealis mitochondrion, complete genome"
NC_087775.1,"Byasa confusa mitochondrion, complete genome"
NC_087772.1,"Hemibagrus punctatus mitochondrion, complete genome"
NC_087771.1,"Precis coelestina isolate Pcoel2019.1 mitochondrion, complete genome"
NC_087770.1,"Anomala aulax mitochondrion, complete genome"
NC_087762.1,"Lamprologus lethops mitochondrion, complete genome"
NC_087759.1,"Scleromystax barbatus isolate AE14 mitochondrion, complete genome"
NC_087758.1,"Charadrius montanus voucher 1803-24278 mitochondrion, complete genome"
NC_087756.1,"Neoseiulus chebalingensis mitochondrion, complete genome"
NC_087744.1,"Echinolaelaps fukienensis mitochondrion, complete genome"
NC_087743.1,"Vescelia pieli mitochondrion, complete genome"
NC_087742.1,"Duolandrevus obsidianus mitochondrion, complete genome"
NC_087725.1,"Chrysococcyx minutillus mitochondrion, complete genome"
NC_087724.1,"Chrysococcyx russatus voucher ANWC:B44314 mitochondrion, complete genome"
NC_087722.1,"Vulpes rueppellii mitochondrion, complete genome"
NC_087705.1,"Tylototriton pseudoverrucosus mitochondrion, complete genome"
NC_087629.1,"Prodasineura autumnalis mitochondrion, complete genome"
NC_087628.1,"Prodasineura croconota mitochondrion, complete genome"
NC_087624.1,"Monochamus guttulatus voucher SK1241 mitochondrion, complete genome"
NC_087623.1,"Stiphodon semoni mitochondrion, complete genome"
NC_087622.1,"Oncorhynchus chrysogaster mitochondrion, complete genome"
NC_087582.1,"Eothenomys colurnus mitochondrion, complete genome"
NC_086865.1,"Tachina sobria mitochondrion, complete genome"
NC_086511.1,"Halter nutans voucher HNIR1 mitochondrion, complete genome"
NC_086510.1,"Nemoptera sinuata voucher NSA mitochondrion, complete genome"
NC_086970.1,"Ampulex compressa mitochondrion, complete genome"
NC_086967.1,"Filchneria zhouchangfai mitochondrion, complete genome"
NC_086966.1,"Perlodinella shennongjia mitochondrion, complete genome"
NC_086965.1,"Mesyatsia karakorum mitochondrion, complete genome"
NC_086964.1,"Gnathophyllum americanum mitochondrion, complete genome"
NC_086963.1,"Ammophila clavus mitochondrion, complete genome"
NC_086961.1,"Coptodon camerunensis mitochondrion, complete genome"
NC_086960.1,"Sphyraena sphyraena mitochondrion, complete genome"
NC_086959.1,"Cephalopholis taeniops mitochondrion, complete genome"
NC_086952.1,"Telmatochromis burgeoni mitochondrion, complete genome"
NC_086951.1,"Julidochromis dickfeldi mitochondrion, complete genome"
NC_086950.1,"Lamprologus werneri mitochondrion, complete genome"
NC_086949.1,"Lamprologus tumbanus mitochondrion, complete genome"
NC_086948.1,"Lamprologus tigripictilis mitochondrion, complete genome"
NC_086947.1,"Lamprologus mocquardi mitochondrion, complete genome"
NC_086946.1,"Lamprologus markerti mitochondrion, complete genome"
NC_086945.1,"Lamprologus congoensis mitochondrion, complete genome"
NC_086924.1,"Triatoma boliviana mitochondrion, complete genome"
NC_086900.1,"Trachops cirrhosus mitochondrion, complete genome"
NC_086888.1,"Choerodon azurio mitochondrion, complete genome"
NC_086879.1,"Torodora canaliculata voucher YUS001 mitochondrion, complete genome"
NC_086869.1,"Etisus laevimanus voucher Ben.Ar.Cr_2401 mitochondrion, complete genome"
NC_086854.1,"Desmometopa sabroskyi mitochondrion, complete genome"
NC_086852.1,"Alepes melanoptera mitochondrion, complete genome"
NC_086851.1,"Coridius chinensis mitochondrion, complete genome"
NC_086848.1,"Schistura callichromus mitochondrion, complete genome"
NC_086847.1,"Pseudecheneis paviei mitochondrion, complete genome"
NC_086844.1,"Hermonassa cecilia mitochondrion, complete genome"
NC_086833.1,"Mycetophylax simplex voucher Br543 mitochondrion, complete genome"
NC_086832.1,"Theopompa maculosa isolate SM341 mitochondrion, complete genome"
NC_086831.1,"Gonypeta brunneri isolate DLS319 mitochondrion, complete genome"
NC_086830.1,"Astyliasula major isolate XSBN197 mitochondrion, complete genome"
NC_086829.1,"Arria pura isolate XS107 mitochondrion, complete genome"
NC_086828.1,"Arria brevifrons isolate LC230 mitochondrion, complete genome"
NC_086827.1,"Theopompa ophthalmica isolate CJ246 mitochondrion, complete genome"
NC_086826.1,"Anaxarcha tianmushanensis isolate HP261 mitochondrion, complete genome"
NC_086825.1,"Phyllothelys werneri isolate HT235 mitochondrion, complete genome"
NC_086824.1,"Phyllothelys sinensis isolate GYLC162 mitochondrion, complete genome"
NC_086823.1,"Theopropus sinecus isolate MS142 mitochondrion, complete genome"
NC_086822.1,"Anaxarcha sinensis isolate MS143 mitochondrion, complete genome"
NC_086821.1,"Pseudempusa pinnapavonis isolate XSBN196 mitochondrion, complete genome"
NC_086820.1,"Statilia agresta isolate BHL108 mitochondrion, complete genome"
NC_086819.1,"Hierodula latipennis isolate JFL299 mitochondrion, complete genome"
NC_086818.1,"Amantis wuzhishana isolate SM330 mitochondrion, complete genome"
NC_086817.1,"Acromantis hesione isolate SM331 mitochondrion, complete genome"
NC_086816.1,"Caprimulgus indicus mitochondrion, complete genome"
NC_086812.1,"Tipula yasumatsuana mitochondrion, complete genome"
NC_086811.1,"Tipula varipennis mitochondrion, complete genome"
NC_086810.1,"Tipula legalis mitochondrion, complete genome"
NC_086807.1,"Triplophysa tianeensis mitochondrion, complete genome"
NC_086806.1,"Triplophysa nandanensis mitochondrion, complete genome"
NC_086805.1,"Triplophysa longliensis mitochondrion, complete genome"
NC_086804.1,"Triplophysa huapingensis mitochondrion, complete genome"
NC_086803.1,"Triplophysa fengshanensis mitochondrion, complete genome"
NC_086802.1,"Triplophysa longipectoralis mitochondrion, complete genome"
NC_086801.1,"Parazoanthus axinellae mitochondrion, complete genome"
NC_086796.1,"Zoarces americanus mitochondrion, complete genome"
NC_086795.1,"Phyllocrania paradoxa mitochondrion, complete genome"
NC_086791.1,"Carausius morosus mitochondrion, complete genome"
NC_086779.1,"Physaloptera clausa mitochondrion, complete genome"
NC_086773.1,"Anopheles plumbeus mitochondrion, complete genome"
NC_086766.1,"Monolepta pallidula mitochondrion, complete genome"
NC_086765.1,"Monolepta wilcoxi mitochondrion, complete genome"
NC_086764.1,"Monolepta cavipennis mitochondrion, complete genome"
NC_086763.1,"Monolepta bicavipennis mitochondrion, complete genome"
NC_086762.1,"Triplophysa weiheensis mitochondrion, complete genome"
NC_086760.1,"Dermestes vorax mitochondrion, complete genome"
NC_086745.1,"Tarsiger indicus voucher PB2022027 mitochondrion, complete genome"
NC_086726.1,"Schistura yingjiangensis mitochondrion, complete genome"
NC_086725.1,"Triplophysa grahami mitochondrion, complete genome"
NC_086724.1,"Hemitaurichthys polylepis mitochondrion, complete genome"
NC_086723.1,"Siganus argenteus mitochondrion, complete genome"
NC_086722.1,"Clarias meladerma mitochondrion, complete genome"
NC_086719.1,"Bembidion laterale mitochondrion, complete genome"
NC_086718.1,"Creptotrematina aguirrepequenoi mitochondrion, complete genome"
NC_086717.1,"Allocreadium lobatum mitochondrion, complete genome"
NC_086666.1,"Eteoneus sigillatus mitochondrion, complete genome"
NC_086664.1,"Afurcagobius suppositus isolate A2101 mitochondrion, complete genome"
NC_086655.1,"Chlaenius naeviger mitochondrion, complete genome"
NC_086654.1,"Melampus sincaporensis mitochondrion, complete genome"
NC_086649.1,"Palaemon australis isolate A2103 mitochondrion, complete genome"
NC_086643.1,"Chaetodon ephippium mitochondrion, complete genome"
NC_086642.1,"Austropeplea brazieri strain Andersen Line AUS1 mitochondrion, complete genome"
NC_086641.1,"Onukigallia onukii mitochondrion, complete genome"
NC_086640.1,"Nandigallia matai mitochondrion, complete genome"
NC_086639.1,"Multinervis guangxiensis mitochondrion, complete genome"
NC_086638.1,"Japanagallia trifurcata mitochondrion, complete genome"
NC_086637.1,"Japanagallia neohamata mitochondrion, complete genome"
NC_086636.1,"Igerna wilsoni mitochondrion, complete genome"
NC_086635.1,"Igerna tenuicaula mitochondrion, complete genome"
NC_086634.1,"Dryodurgades tortilis mitochondrion, complete genome"
NC_086633.1,"Anaceratagallia venosa mitochondrion, complete genome"
NC_086631.1,"Orestias laucaensis isolate OLAUMT mitochondrion, complete genome"
NC_086630.1,"Orestias chungarensis isolate OCHUMT mitochondrion, complete genome"
NC_086624.1,"Yunnanilus nanpanjiangensis mitochondrion, complete genome"
NC_086623.1,"Leptoglossus occidentalis mitochondrion, complete genome"
NC_086622.1,"Phyllothelys breve mitochondrion, complete genome"
NC_086621.1,"Otomantis scutigera mitochondrion, complete genome"
NC_086620.1,"Majangella moultoni mitochondrion, complete genome"
NC_086619.1,"Trematomus hansoni mitochondrion, complete genome"
NC_086618.1,"Prothemus sanguinosus mitochondrion, complete genome"
NC_086617.1,"Fissocantharis imparicornis mitochondrion, complete genome"
NC_086616.1,"Cyrebion gracilicornis mitochondrion, complete genome"
NC_086615.1,"Themus luteipes mitochondrion, complete genome"
NC_086614.1,"Themus stigmaticus mitochondrion, complete genome"
NC_086613.1,"Themus coelestis mitochondrion, complete genome"
NC_086612.1,"Taiwanocantharis parasatoi mitochondrion, complete genome"
NC_086611.1,"Stenothemus fukienensis mitochondrion, complete genome"
NC_086610.1,"Prothemus semimetallicus mitochondrion, complete genome"
NC_086609.1,"Podabrus annulatus mitochondrion, complete genome"
NC_086608.1,"Micropodabrus oudai mitochondrion, complete genome"
NC_086607.1,"Habronychus chaoi mitochondrion, complete genome"
NC_086606.1,"Lycocerus hubeiensis mitochondrion, complete genome"
NC_086605.1,"Lycocerus curvatus mitochondrion, complete genome"
NC_086604.1,"Falsopodabrus tridentatus mitochondrion, complete genome"
NC_086603.1,"Cyrebion subrufolineatus mitochondrion, complete genome"
NC_086602.1,"Cantharis jindrai mitochondrion, complete genome"
NC_086600.1,"Hypoderma pantholopsum mitochondrion, complete genome"
NC_086599.1,"Carsidara limbata mitochondrion, complete genome"
NC_086597.1,"Tanichthys huidongensis mitochondrion, complete genome"
NC_086596.1,"Araiocypris batodes mitochondrion, complete genome"
NC_086593.1,"Marmota sibirica mitochondrion, complete genome"
NC_086592.1,"Marmota baibacina mitochondrion, complete genome"
NC_086591.1,"Eothenomys olitor mitochondrion, complete genome"
NC_086575.1,"Flavicorniculum planiforceps mitochondrion, complete genome"
NC_086574.1,"Linnaemya omega mitochondrion, complete genome"
NC_086572.1,"Leptatherina wallacei isolate F-L-w-3 mitochondrion, complete genome"
NC_086571.1,"Nannatherina balstoni isolate A2111 mitochondrion, complete genome"
NC_086570.1,"Nannoperca vittata isolate A2104 mitochondrion, complete genome"
NC_086569.1,"Thorichthys meeki isolate F-T-m-1 mitochondrion, complete genome"
NC_086568.1,"Rubricatochromis lifalili isolate F-H-l-1 mitochondrion, complete genome"
NC_086567.1,"Paprides nitidus voucher GH3539 mitochondrion, complete genome"
NC_086556.1,"Parasesarma continentale mitochondrion, complete genome"
NC_086543.1,"Typhlocybini mitochondrion, complete genome"
NC_086539.1,"Yangisunda ramosa mitochondrion, complete genome"
NC_086538.1,"Sannella crucifera mitochondrion, complete genome"
NC_086537.1,"Limassolla uncata mitochondrion, complete genome"
NC_086536.1,"Limassolla galewskii mitochondrion, complete genome"
NC_086535.1,"Limassolla fasciata mitochondrion, complete genome"
NC_086534.1,"Limassolla dispunctata mitochondrion, complete genome"
NC_086533.1,"Kuohzygia albolinea mitochondrion, complete genome"
